,"('Go Straight ', 'Snakes ')","('Go Straight ', 'Achieve Transcendence ')","('Snakes ', 'Achieve Transcendence ')","('Jason ', 'Hurry ')","('Goodie Whemper ', 'Nanny Ogg ')","('Magrat ', 'Granny Weatherwax ')","('Magrat ', 'Mss Weatherwax ')","('Magrat ', 'Magrat Garlick ')","('Granny Weatherwax ', 'Mss Weatherwax ')","('Granny Weatherwax ', 'Magrat Garlick ')","('Mss Weatherwax ', 'Magrat Garlick ')","('Granny ', 'Weatherwax ')","('Granny ', 'Nanny Ogg ')","('Granny Weatherwax ', 'Gytha ')","('Granny ', 'Magrat ')","('Death ', 'Verence ')","('Old Goodie Whemper ', 'Granny ')","('Ogg ', 'Nanny ')","('Animal ', 'Champot ')","('Duke ', 'Felmet ')","('Felmet ', 'Lady ')","('Duke Felmet ', 'Verence ')","('Lancre ', 'Castle ')","('Trouble ', 'Granny ')","('Granny Weatherwax ', 'Granny ')","('Granny Weatherwax ', 'Magrat ')","('Granny ', 'Gytha ')","('Magrat ', 'Gytha ')","('Kings ', 'Granny ')","('Kings ', 'Gytha ')","('Magrat ', 'Nanny Ogg ')","('Granny ', 'Again ')","('Charge ', 'Years ')","('Charge ', 'Sword ')","('Years ', 'Sword ')","('Granny ', 'Granny Weatherwax ')","('Granny Weatherwax ', 'Nanny Ogg ')","('Whemper ', 'Magrat ')","('Magrat ', 'Views ')","('Views ', 'Granny Weatherwax ')","('Esme ', 'Granny ')","('Esme ', 'Nanny ')","('Granny ', 'Nanny ')","('Granny ', 'Someone ')","('Magrat ', 'Nanny ')","('Lancre Castle ', 'Lady Felmet ')","('Mrs Vitoller ', 'Granny ')","('Mrs Vitoller ', 'Vitoller ')","('Granny ', 'Vitoller ')","('Actors ', 'Granny ')","('Granny ', 'Goodie Whemper ')","('Garlick ', 'Anyone ')","('Granny ', 'Kind ')","('Magrat ', 'Kind ')","('Wizard ', 'Nanny Ogg ')","('Time ', 'Nanny ')","('Curiosity ', 'Lady Felmet ')","('Patience ', 'Blood ')","('Lightfoot ', 'Magrat ')","('Nanny Ogg ', 'Tracie ')","('Kind Verence ', 'Nanny ')","('Regular ', 'Granny ')","('Felmet ', 'Magrat ')","('Magrat ', 'Verence ')","('Granny ', 'Thargum ')","('Jason ', 'Wane ')","('Jason ', 'Nanny Ogg ')","('Wane ', 'Nanny Ogg ')","('Lord ', 'Felmet ')","('Just ', 'Verence ')","('Tomjon ', 'Hwel ')","('Tomjon ', 'Vitoller ')","('Hwel ', 'Vitoller ')","('Mallo ', 'Vitoller ')","('Please ', 'Vitoller ')","('Act II ', 'Hwel ')","('Act II ', 'Scene IV ')","('Hwel ', 'Scene IV ')","('Granny ', 'Hogswatchnight ')","('Evil ', 'Stupid ')","('Magrat ', 'Mad Stoat ')","('Light ', 'Nanny Ogg ')","('Ogg ', 'Granny ')","('Nanny ', 'Gytha ')","('Art ', 'Nanny ')","('Tradition ', 'Granny ')","('Begone ', 'Okay ')","('Tomjon ', 'Willikins ')","('Tomjon ', 'Death ')","('Champot ', 'Verence ')","('Never ', 'Marry ')","('Woolly Fellwort ', 'Treacle Worm-seed ')","('Felmet ', 'Nanny ')","('Granny Weatherwax ', 'Nanny ')","('Ideas ', 'Granny ')","('Hurry ', 'Magrat ')","('Hurry ', 'Nanny ')","('Granny ', 'Fool ')","('Granny ', 'Lancre ')","('Lancre ', 'Nanny Ogg ')","('Never ', 'Nanny ')","('Magrat ', 'Goodie Whemper ')","('Scscs ', 'Magrat ')","('Scscs ', 'Goodie ')","('Magrat ', 'Goodie ')","('Ogg ', 'Greebo ')","('Greebo ', 'Nanny ')","('Shawn ', 'Nanny ')","('Magrat ', 'Someone ')","('Lancre ', 'Shawn ')","('Shawn ', 'Nanny Ogg ')","('Shawn ', 'Mss Magrat ')","('Jason ', 'Darron ')","('Jason ', 'Magrat ')","('Jason ', 'Nanny ')","('Shawn ', 'Granny Weatherwax ')","('Shawn ', 'Whoops ')","('Strange ', 'Nanny Ogg ')","('Strange ', 'Nanny ')","('Nanny Ogg ', 'Nanny ')","('P ', 'Nanny Ogg ')","('-which ', 'Nanny ')","('P ', 'Nanny ')","('Treason ', 'Malicious ')","('Granny ', 'Verence ')","('Hron ', 'Magrat ')","('Lancre Castle ', 'Granny ')","('Gytha Ogg ', 'Granny ')","('Gytha Ogg ', 'Magrat ')","('Kev ', 'Darron ')","('Kev ', 'Nanny ')","('Kev ', 'Jason ')","('Kev ', 'Wane ')","('Kev ', 'Trev ')","('Darron ', 'Nanny ')","('Darron ', 'Jason ')","('Darron ', 'Wane ')","('Darron ', 'Trev ')","('Nanny ', 'Jason ')","('Nanny ', 'Wane ')","('Nanny ', 'Trev ')","('Jason ', 'Trev ')","('Wane ', 'Trev ')","('Ninety ', 'Magrat ')","('Gytha ', 'Whosis ')","('Hwell ', 'Help ')","('Goodie Whemper ', 'Nanny ')","('Goodie ', 'Nanny ')","('Granny Weatherwax ', 'Bowing ')","('Granny Weatherwax ', 'Verence ')","('Bowing ', 'Verence ')","('Destiny ', 'Granny ')","('Felmet ', 'Verence ')","('Hoki ', 'Granny ')","('Lady Felmet ', 'Fool ')","('Greebo ', 'Queen Grimnir ')","('Granny ', 'Aliss Demurrage ')","('Esme ', 'Black Aliss ')","('Black Aliss ', 'Magrat ')","('Dangerous ', 'Granny Weatherwax ')","('Granny ', 'Felmet ')","('Greebo ', 'Magrat ')","('Granny ', 'Dark ')","('Dark ', 'Magrat ')","('Lancre ', 'Magrat ')","('Fools ', 'Colleges ')","('Brother Jape ', 'Fools ')","('Brother Jape ', 'Brother Prankster ')","('Fools ', 'Brother Prankster ')","('Gytha Ogg ', 'Esme Weatherwax ')","('Granny ', 'Esme Weatherwax ')","('Ogg ', 'Octarine ')","('Octarine ', 'Nanny ')","('Lancre Gorge ', 'Nanny ')","('Gytha Ogg ', 'Granny Weatherwax ')","('Ogg ', 'Jason ')","('Sound ', 'Nanny ')","('Black Aliss ', 'Nanny Ogg ')","('Aliss ', 'Nanny ')","('Karen ', 'Nanny ')","('Clown ', 'Seconde ')","('Dainty Messe ', 'Stanleigh ')","('Dainty Messe ', 'Hwel ')","('Dainty Messe ', 'Thys ')","('Stanleigh ', 'Hwel ')","('Stanleigh ', 'Thys ')","('Hwel ', 'Thys ')","('Hwel ', 'Flares ')","('Tomjon ', 'Impetuosity ')","('Hwel ', 'Morpork ')","('Tomjon ', 'Patrician ')","('Tomjon ', 'Broken Moons ')","('Hwel ', 'Timkin Rumbleguts ')","('Nephews ', 'Boggis ')","('Tomjon ', 'Boggis ')","('Hwel ', 'Drunkenness ')","('Ver ', 'Fool ')","('Hwel ', 'Someone ')","('Elven Perfume ', 'Rouge Co. ')","('Elven Perfume ', 'Hwel ')","('Rouge Co. ', 'Hwel ')","('Corpse Green ', 'Tomjon ')","('Tomjon ', 'Haha ')","('Tomjon ', 'Farewell ')","('Ghastly ', 'Storms ')","('Ghastly ', 'Tomjon ')","('Ghastly ', 'Evil ')","('Ghastly ', 'Bells ')","('Ghastly ', 'Screams ')","('Ghastly ', 'Heir ')","('Storms ', 'Tomjon ')","('Storms ', 'Evil ')","('Storms ', 'Bells ')","('Storms ', 'Screams ')","('Storms ', 'Heir ')","('Tomjon ', 'Evil ')","('Tomjon ', 'Bells ')","('Tomjon ', 'Screams ')","('Tomjon ', 'Heir ')","('Evil ', 'Bells ')","('Evil ', 'Screams ')","('Evil ', 'Heir ')","('Bells ', 'Screams ')","('Bells ', 'Heir ')","('Screams ', 'Heir ')","('Hwel ', 'Patronage ')","('Young Dafe ', 'Please Yourself ')","('Young Dafe ', 'Death ')","('Young Dafe ', 'Vitoller ')","('Please Yourself ', 'Death ')","('Please Yourself ', 'Vitoller ')","('Death ', 'Vitoller ')","('Soulcake ', 'Tomjon ')","('Jason ', 'Esme ')","('Wane ', 'Esme ')","('Magrat ', 'Double ')","('Baboon ', 'Gytha ')","('Owl ', 'Boil ')","('Faith ', 'Quick ')","('Hwel ', 'Felmet Small God ')","('Felmet Small God ', 'Vitoller ')","('Destiny ', 'Hwel ')","('Jason ', 'Shawn ')","('Esme ', 'Anyway ')","('Anyway ', 'Nanny ')","('Tomjon ', 'Mellias ')","('Tomjon ', 'Wimsloe ')","('Mellias ', 'Hwel ')","('Mellias ', 'Wimsloe ')","('Hwel ', 'Wimsloe ')","('Tomjon ', 'Old Miskin ')","('Old Miskin ', 'Vitoller ')","('Tomjon ', 'Magrat ')","('Funny ', 'Someone ')","('Miss ', 'Hwel ')","('Lawks ', 'Granny ')","('Lawks ', 'Lancre ')","('Tomjon ', 'Granny ')","('Lancre ', 'Hwel ')","('Lawks ', 'Sorry ')","('Ogg ', 'Move ')","('Move ', 'Nanny ')","('Tomjon ', 'Nanny Ogg ')","('Hwel ', 'Nanny Ogg ')","('Wimsloe ', 'Nanny ')","('Lawks ', 'Hwel ')","('Hwel ', 'Bijou ')","('Daff ', 'Nanny Ogg ')","('Brattsley ', 'Wimsloe ')","('Hwel ', 'Somehow ')","('Tomjon ', 'Verence ')","('Tomjon ', 'Nanny ')","('Millie Hipwood ', 'Nanny ')","('Genuine ', 'Granny ')","('Genuine ', 'Weatherwax ')","('Brief Mortals ', 'Hwel ')","('Brief Mortals ', 'Death ')","('Hwel ', 'Death ')","('Dafe ', 'Hwel ')","('Tomjon ', 'Shadows ')","('Wilph ', 'Hwel ')","('Wilph ', 'Billem ')","('Wilph ', 'Shame ')","('Wilph ', 'Magrat ')","('Hwel ', 'Billem ')","('Hwel ', 'Shame ')","('Hwel ', 'Magrat ')","('Billem ', 'Shame ')","('Billem ', 'Magrat ')","('Shame ', 'Magrat ')","('Hwel ', 'Nanny ')","('Great ', 'Hwel ')","('Look ', 'Magrat ')","('Duel Scene ', 'Tomjon ')","('Granny ', 'Stuff ')","('Oblong ', 'Hwel ')","('Cooeee ', 'Billem ')","('Shirl ', 'Nanny Ogg ')","('Rex ', 'Nanny Ogg ')","('Tomjon ', 'Gytha Ogg ')","('Granny ', 'Royalty ')","('Goodie Whemper ', 'Great Crested ')","('Goodie Whemper ', 'Someone ')","('Great Crested ', 'Someone ')","('Three Bright ', 'Fat Cows ')"
Chapter 0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,16.0,3.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chapter 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chapter 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chapter 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chapter 4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
