,"('Stride Wide Man ', 'Lady Bon Anna ')","('Stride Wide Man ', 'Mister Safe Way ')","('Stride Wide Man ', 'Hotaloga Andrews ')","('Lady Bon Anna ', 'Mister Safe Way ')","('Lady Bon Anna ', 'Hotaloga Andrews ')","('Mister Safe Way ', 'Hotaloga Andrews ')","('Lilith ', 'Anyway ')","('Lilith ', 'Lady Lilith ')","('Anyway ', 'Lady Lilith ')","('Fat ', 'Always ')","('Desiderata ', 'Got ')","('Death ', 'Desiderata ')","('Old Mother Dismass ', 'Desiderata ')","('Mother Hollow ', 'Gammer Brevis ')","('Wizard ', 'Granny Hopliss ')","('Wizard ', 'Gammer Brevis ')","('Granny Hopliss ', 'Gammer Brevis ')","('Singe ', 'Peavey ')","('Singe ', 'Gammer Brevis ')","('Peavey ', 'Gammer Brevis ')","('Granny ', 'Nanny Ogg ')","('Old Mother Dismass ', 'Magrat ')","('Desiderata ', 'Magrat ')","('Granny ', 'Esme ')","('Nanny Ogg ', 'Esme ')","('Garlick ', 'Yolande Garlick ')","('Garlick ', 'Granny Weatherwax ')","('Garlick ', 'Araminta Garlick ')","('Yolande Garlick ', 'Granny Weatherwax ')","('Yolande Garlick ', 'Araminta Garlick ')","('Granny Weatherwax ', 'Araminta Garlick ')","('Granny ', 'Gytha ')","('Magrat ', 'Nanny ')","('Gammer Brevis ', 'Magrat ')","('Gammer Brevis ', 'Millie Hopgood ')","('Magrat ', 'Millie Hopgood ')","('Nanny Ogg ', 'Gertie Simmons ')","('Desiderata ', 'Gammer Brevis ')","('Granny Weatherwax ', 'Huh ')","('Albert Hurker ', 'Desiderata ')","('Desiderata ', 'Granny ')","('Nanny ', 'Granny ')","('Gytha Ogg ', 'Granny ')","('Ogg ', 'Nanny ')","('Magrat ', 'Granny Weatherwax ')","('Magrat ', 'Ogg ')","('Magrat ', 'Ninja ')","('Notte ', 'Youe ')","('Notte ', 'Ruine ')","('Youe ', 'Ruine ')","('Weatherwax ', 'Granny ')","('Weatherwax ', 'Nanny Ogg ')","('Granny ', 'Granny Weatherwax ')","('Weeell ', 'Jason ')","('Weeell ', 'Uncanny ')","('Weeell ', 'Darren ')","('Weeell ', 'Nanny Ogg ')","('Weeell ', 'Sophie ')","('Jason ', 'Uncanny ')","('Jason ', 'Darren ')","('Jason ', 'Nanny Ogg ')","('Jason ', 'Sophie ')","('Uncanny ', 'Darren ')","('Uncanny ', 'Nanny Ogg ')","('Uncanny ', 'Sophie ')","('Darren ', 'Nanny Ogg ')","('Darren ', 'Sophie ')","('Nanny Ogg ', 'Sophie ')","('Who ', 'Auntie Em ')","('Who ', 'Doreen Was ')","('Who ', 'Kevin ')","('Auntie Em ', 'Doreen Was ')","('Auntie Em ', 'Kevin ')","('Doreen Was ', 'Kevin ')","('Granny ', 'Magrat ')","('Granny ', 'Curryin ')","('Let ', 'Granny ')","('Garlick ', 'Granny ')","('Mother Dismass ', 'Nanny ')","('Nanny Ogg ', 'Jason Ogg ')","('Horseman ', 'Jason Ogg ')","('Broomstick Across ', 'Desiderata ')","('Broomstick Across ', 'Magrat ')","('Jason ', 'Magrat ')","('Miss Garlick ', 'Jason ')","('Anno ', 'Magrat ')","('Anno ', 'Silly ')","('Magrat ', 'Silly ')","('Jason ', 'Jason Ogg ')","('Magrat ', 'Granny ')","('Magrat ', 'Air Lobsang Dibbler ')","('Gytha Ogg ', 'Nanny ')","('Gytha Ogg ', 'Granny Weatherwax ')","('Nanny ', 'Granny Weatherwax ')","('Esme Weatherwax ', 'Nanny ')","('Jason ', 'Nanny ')","('Wolves ', 'Foxes ')","('Wolves ', 'Greebo ')","('Foxes ', 'Greebo ')","('Granny Weatherwax ', 'Greebo ')","('Nanny ', 'Esme ')","('Ogg ', 'Jason ')","('Ogg ', 'Magrat ')","('Which ', 'Granny Weatherwax ')","('Mountains ', 'Clouds ')","('Magrat ', 'Esme ')","('Ogg ', 'Esme ')","('Various ', 'Magrat ')","('Nanny ', 'Squash ')","('Nanny ', 'Cheerio ')","('Right ', 'Nanny ')","('Nanny Ogg ', 'Magrat ')","('Nanny Ogg ', 'Witches ')","('Magrat ', 'Witches ')","('Duck ', 'Nanny ')","('Anyway ', 'Thank ')","('Nanny Ogg ', 'Granny Weatherwax ')","('Magrat ', 'Nanny Ogg ')","('Bona ', 'Magrat ')","('Shane ', 'Nanny Ogg ')","('Nanny ', 'Magrat ')","('Lilith ', 'Baron ')","('Sometimes ', 'Granny Weatherwax ')","('Goodie Whemper ', 'Magrat ')","('Magrat ', 'Whereas ')","('Nanny ', 'Whereas ')","('Magic ', 'Magrat ')","('Nanny ', 'Nanny Ogg ')","('Doubt ', 'Granny Weatherwax ')","('Jason ', 'Dear ')","('Jason ', 'Mine Hair ')","('Magrat ', 'Gytha ')","('Nanny ', 'Departure ')","('Nanny Ogg ', 'Departure ')","('Magrat ', 'Airborne ')","('Granny ', 'Bubble ')","('Dick ', 'Nanny ')","('Cwuissses ', 'Granny ')","('Nanny ', 'Absinthe ')","('Kabona ', 'Lagro ')","('Desiderata ', 'Nanny Ogg ')","('Desiderata ', 'Granny Weatherwax ')","('Pease ', 'Mrs ')","('Pease ', 'Baron ')","('Pease ', 'Evile ')","('Mrs ', 'Baron ')","('Mrs ', 'Evile ')","('Baron ', 'Evile ')","('Samedi Nuit Morte ', 'Mardi Gras ')","('Etcetra ', 'Nanny Ogg ')","('Etcetra ', 'Fat Lunchtime ')","('Nanny Ogg ', 'Fat Lunchtime ')","('Genua ', 'Granny ')","('Ogg ', 'Nanny Ogg ')","('Granny ', 'Fat Lunchtime ')","('Just Patience ', 'Granny ')","('Mister Frank ', 'Triple Onion ')","('Mister Frank ', 'Granny ')","('Triple Onion ', 'Granny ')","('Mister ', 'Frank ')","('Mister Frank ', 'Cups ')","('Jason ', 'Chase My Neighbour ')","('Jason ', 'King Verence ')","('Chase My Neighbour ', 'Nanny Ogg ')","('Chase My Neighbour ', 'King Verence ')","('Nanny Ogg ', 'King Verence ')","('Dibbler ', 'Magrat ')","('Yen Buddhism ', 'Nanny ')","('Broken Mountain ', 'Esme ')","('Cripple Mister Onion ', 'Granny ')","('Shakin ', 'Steak Tartere ')","('Shakin ', 'Esme ')","('Steak Tartere ', 'Esme ')","('Vines ', 'Dust ')","('Granny ', 'Dust ')","('Magrat ', 'Black Aliss ')","('Deliria Skibbly ', 'Nanny ')","('Sad ', 'Nanny ')","('Always ', 'Someone ')","('Always ', 'Nanny Ogg ')","('Someone ', 'Nanny Ogg ')","('Granny ', 'Nanny ')","('Granny ', 'Ogg ')","('Nanny ', 'Ogg ')","('Ogg ', 'Granny Weatherwax ')","('Granny ', 'Goin ')","('Raw ', 'Mountains ')","('Wizard ', 'Nanny ')","('Wizard ', 'Magrat ')","('Wizard ', 'Granny Weatherwax ')","('Granny Weatherwax ', 'Witches ')","('Daisy ', 'Fairy Tulip ')","('Daisy ', 'Magrat ')","('Daisy ', 'Fairy ')","('Fairy Tulip ', 'Magrat ')","('Fairy Tulip ', 'Fairy ')","('Magrat ', 'Fairy ')","('Fairy Tulip ', 'Granny ')","('Whereas Magrat ', 'Magrat ')","('Whereas Magrat ', 'Nanny Ogg ')","('Whereas Magrat ', 'Granny Weatherwax ')","('Magrat ', ""'you "")","('Nanny Ogg ', 'Greebo ')","('Soot ', 'Granny Weatherwax ')","('Granny ', 'Ribs ')","('Teh ', 'Granny ')","('Granny Weatherwax ', 'Never ')","('Right ', 'Granny ')","('Granny Weatherwax ', 'Gytha ')","('Nanny ', 'Someone ')","('Magrat Garlick ', 'Granny ')","('Genua ', 'Nanny ')","('Creel Springs ', 'Nanny ')","('Creel Springs ', 'Shaker Wistley ')","('Nanny ', 'Shaker Wistley ')","('Genua ', 'Magrat ')","('Black Aliss ', 'Granny Weatherwax ')","('Crowds ', 'Nanny ')","('Sittin ', 'Granny ')","('Jason ', 'Dyou ')","('Jason ', 'Esme ')","('Dyou ', 'Dear ')","('Dyou ', 'Esme ')","('Dyou ', 'Magrat ')","('Dyou ', 'Nanny Ogg ')","('Dear ', 'Esme ')","('Dear ', 'Magrat ')","('Dear ', 'Nanny Ogg ')","('Esme ', 'Magrat ')","('Esme ', 'Nanny Ogg ')","('Esme ', 'Gytha ')","('Magrat ', 'Wilkins ')","('Anyway ', 'Granny ')","('Eat ', 'Get Into The Sandwiches ')","('Eat ', 'Carry ')","('Get Into The Sandwiches ', 'Carry ')","('Ogg ', 'Mrs Pleasant ')","('Nanny ', 'Mrs Pleasant ')","('Racism ', 'Black ')","('Fat Lunchtime ', 'Mrs Pleasant ')","('Nanny ', 'Greebo ')","('Mrs Ogg ', 'Mrs Pleasant ')","('Ogg ', 'Genua ')","('Genua ', 'Mrs Pleasant ')","('Nanny Ogg ', 'Blue ')","('Gogol ', 'Nanny Ogg ')","('Airs Gogol ', 'Nanny ')","('Mrs Gogol ', 'Erzulie Gogol ')","('Nanny ', 'Gytha ')","('Mrs Gogol ', 'Nanny ')","('Gogol ', 'Nanny ')","('Gogol ', 'Granny ')","('Gogol ', 'Granny Weatherwax ')","('Legba ', 'Mrs Gogol ')","('Ella ', 'Magrat ')","('Ella ', 'Granny Weatherwax ')","('Ella ', 'Silly ')","('Ella ', 'Mrs Pleasant ')","('Silly ', 'Mrs Pleasant ')","('Magrat ', 'Mrs Pleasant ')","('Mrs Gogol ', 'Mrs Ogg ')","('Mrs Gogol ', 'Granny ')","('Mrs Gogol ', 'Esme ')","('Just ', 'Mrs Ogg ')","('Legba ', 'Greebo ')","('Airs Gogol ', 'Baron ')","('Mrs Gogol ', 'Baron ')","('Mrs Gogol ', 'Duc ')","('Coit ', 'Granny ')","('Hats ', 'Magrat ')","('Hats ', 'Granny Weatherwax ')","('Mrs Ogg ', 'Duc ')","('Ripples ', 'Granny ')","('Ella ', 'Fat ')","('Ella ', 'Genua ')","('Fat ', 'Genua ')","('Ogg ', 'Granny ')","('Nanny ', 'Never ')","('Magrat ', 'Verence ')","('Jason ', 'Granny ')","('Jason ', 'Gytha ')","('Nanny ', 'Fat Lunchtime ')","('Fat Lunchtime ', 'Greebo ')","('Magrat ', 'Lily ')","('Lilith ', 'Tempscire ')","('Fat ', 'Lunchtime ')","('Someone ', 'Granny Weatherwax ')","('Lilith ', 'Hmm ')","('Granny ', 'Lily ')","('Granny ', 'Almost ')","('Granny ', 'Greebo ')","('Ella ', 'Granny ')","('Bereft ', 'Magrat ')","('Magrat Garlick ', 'Magrat ')","('Magrat Garlick ', 'Granny Weatherwax ')","('Strange ', 'Magrat ')","('Henry Gleet ', 'Lady Gleet ')","('Sir ', 'Duc ')","('Nanny ', 'Young Magrat ')","('Lady Volentia ', 'Mother Nature ')","('Lady Volentia ', 'Granny Weatherwax ')","('Mother Nature ', 'Granny Weatherwax ')","('Dancers ', 'Samedi Nuit Mort ')","('Lady ', 'Colonel Moutarde ')","('Lady ', 'Granny ')","('Weatherwax ', 'Lily ')","('Nanny Ogg ', 'Lily ')","('Nanny ', 'Casanunda ')","('Gogol ', 'Erzulie ')","('Gogol ', 'Mrs Gogol ')","('From ', 'Magrat ')","('Esme ', 'Lily ')","('Light ', 'Dark ')","('Granny ', 'Baron ')","('Ella ', 'Legba ')","('Ella ', 'Gogol ')","('Gogol ', 'Airs ')","('Mrs Gogol ', 'Magrat ')","('Magrat ', 'Jenes ')","('Mrs Ogg ', 'Casanunda ')","('Mister ', 'Nanny ')","('Ella ', 'Nanny ')","('Magrat ', 'Lesson Seven ')","('Anyway ', 'Mrs Gogol ')","('Anyway ', 'Magic ')","('Anyway ', 'Lily ')","('Mrs Gogol ', 'Magic ')","('Mrs Gogol ', 'Lily ')","('Magic ', 'Lily ')","('Gogol ', 'Baron ')","('Gogol ', 'Magrat ')","('Mrs Gogol ', 'Mistress Weatherwax ')","('Baron ', 'Nanny ')","('Gogol ', 'Ella ')","('Death ', 'Baron ')","('Death ', 'Ready ')","('Baron ', 'Erzulie ')","('Happy ', 'Which ')","('Nanny ', 'Lily ')","('Magrat ', 'Mrs Gogol ')","('Mrs Gogol ', 'Gytha ')","('Miss Garlick ', 'Old Desiderata ')","('Miss Garlick ', 'Esme ')","('Old Desiderata ', 'Esme ')","('Mrs Gogol ', 'Nanny Ogg ')","('Anyway ', 'Nanny ')","('Anyway ', 'Esme ')","('Playin ', 'Granny ')","('Granny ', 'Dad ')","('Mrs Gogol ', 'Granny Weatherwax ')","('Samedi Nuit ', 'Pleasant ')","('Samedi Nuit ', 'Airs ')","('Pleasant ', 'Airs ')","('Im ', 'Magratfor ')","('Im ', 'Esme ')","('Im ', 'Magrat ')","('Im ', 'Lily ')","('Magratfor ', 'Esme ')","('Magratfor ', 'Magrat ')","('Magratfor ', 'Lily ')","('Fat Lunchtirne ', 'Genua ')","('Fat Lunchtirne ', 'Mrs Pleasant ')"
Chapter 0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,1.0,2.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,18,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chapter 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,19,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,7,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chapter 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chapter 3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chapter 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
