,Pratchett ,Terry ,Colin Smythe ,Rob Wilkins ,Ralph Waldo Emerson ,Brahma ,Pedestriana ,Terry Pratchett ,Royal Art Museum ,Rudolph ,Museums ,Trevor Likely ,Trev ,Juliet ,Stollop ,Nutt ,Smeems ,Unseen University ,Sorry ,Mister Smeems ,Been ,Nutts ,Will ,Behold ,Knaves ,Yessir ,Master ,Don ,Bright ,Candle Knave ,Damn ,Really ,Finest ,Uncommon Room ,Mustrum Ridcully ,Megapode ,Doctor Hix ,Anyone ,Ridcully ,Archchancellor ,Tenure ,Ponder ,Ponder Stibbons ,Doctor Erratamus ,Mister Stibbons ,Doctor ,Doctor Housemartin ,Runes ,Hex ,Mrs Whitlow ,Glenda ,Rotten Johnny ,Anyway ,Wizards ,Rotten ,Johnny ,Mildred ,Hedges ,Archchancellor Preserved Bigger ,Bequest ,Hmm ,Name ,Quite ,Broadly ,Poore Boys ,Mark ,Lord Vetinari ,Brother Oats ,Pastor Oats ,Slump ,Sleek ,Mister Trev ,Gobbo ,Did Fortune ,Blimey ,Far Uberwald ,Somehow ,Alas ,Miss Healstether ,Concrete ,Fetch Mister Nutt ,Beasly ,Lobbin Clout ,Staple Upwright ,Mister Nutt ,Jools ,Goblins ,Dolly Sisters ,Unlikely ,Dave Likely ,Dimwell ,Teetotal ,Never ,Made ,Mustrum ,Corpse ,Vetinari ,Havelock Vetinari ,Brazeneck ,How ,Nah ,Miss Glenda ,Mister Nutts ,Ladyship ,Who ,Roger ,Treacle Mine Road ,Johnson ,Glenda. ,Crowdy ,Igor ,Spout ,Odours ,Trumpet ,Brakefast ,Postalume ,Sixteen Minutes ,Five Hours ,Fassel ,Weepy Mukko ,Lord ,Drumknott ,Thank ,Had ,Magic ,Mister ,Good ,People ,Natchbull Smeems ,Word ,Dwarfs ,Lady ,Margolotta ,Loop Alley ,Spolwhittle ,Hah ,Birdcatcher ,Juliet Stollop ,Dimwell Old Pals ,Dolly Sisters Football Club ,Bloody ,Someone ,Ofleberger ,Die Wesentlichen Ungewissheiten Zugehörig ,Wot ,Trev Likely ,Wow ,Move ,Brutha ,Mister Alf Nobbs ,Mister Nobbs ,Become Rascally Drunk ,Alf ,Nobbs ,Verdant Spring ,Stronginthearm ,Mrs Troll ,Off ,Gon ,Apes ,Tin Flinging Man ,Banana Pie Woman ,Ottomy ,Andy ,Ooo ,Maxie ,Carter ,Jumbo ,Ain ,Hasn ,Adam ,Downhill ,Stibbons ,Hix ,Oos ,Push ,Hello ,Trolls ,Goblin ,Her ,Dolly ,Shush ,Old Stollop ,Look ,Luv ,Stollops ,Billy Stollop ,Didn ,Billy ,Billy…It ,Kill ,Vonmausberger ,Algernon ,Blood ,Posse ,Weren ,Troll ,Bluejohn ,Mister Haddock ,Haddock ,Morgue ,Constable Haddock ,Kipper ,Everyone ,Death ,Briefly ,Andy Shank ,Has Mister Nutt ,Mister Likely ,Angua ,Nobby ,Sort ,Doctor Lawn ,Strong ,Sam Vimes ,Sergeant Angua ,Cut ,Shove ,Haven ,Mithter Likely ,Tuna ,Thome ,Igors ,Mrs Hedges ,Behind ,Okay ,Say ,Hard ,Mother ,Glendy ,Sea Pie ,Silly ,Mister Ottomy ,Always ,Quirm ,D ,Might ,Jules ,Granny ,Mister Stollop ,Mister Trevor Likely ,Der Selbst ,Ganze ,Trousenblert ,Alive ,Smart ,Chaise ,Folk ,Doesn ,Better ,Beside ,Be ,Candles ,Robert Scandal ,Historians ,Madame Sharn ,Work ,Miss Juliet ,Food ,Naiads ,Naphill United ,Well ,Assassin ,Pie ,Bosoms ,Molly ,Charlie ,Gravity ,Shatta ,Snaky Cleavehelms ,Madame ,Dwarf ,Queen ,Pepe ,Ooh ,Micromail ,Talks ,Almost ,Which ,Imagine ,Wouldn ,Archchancellor Scrubbs ,Looks ,Moonsilver ,Wotcher ,Shut ,Fifteen ,Care ,Told Madame ,Old Cheese Alley ,Wasn ,Uberwald ,Local ,See ,Mister Floribunda ,Incidentally ,Right ,Small ,Charlie Drinkie ,Disc ,Nuffin ,Vegetables ,Mister One Drop ,Mister Andy ,Glang ,Llamedos Dwarfish ,Lady Margolotta ,Dad ,Greasy Damien ,Awk ,Whose ,Mister Shank ,Whitlow ,Weeell ,Fancy ,Jewels ,Somebody ,Low King ,Amazingly ,Mister Hipney ,Pondlife ,Io ,Rincewind ,Unusual Geography ,Martin Sogger ,Bengo Macarona ,Professor Maidenhair ,Poor ,Mister Macarona ,Chubb ,Archchancellor Abasti ,Bishop Horn ,Bledlow Nobbs ,Trevor ,Mister Librarian ,Henry ,Turnipseed ,Adopt ,Hat ,Verdant ,Cigarette ,Diagram ,Blit Studies ,Fdl ,Professor Turnipseed ,Pex ,Dean ,Ploughman ,Pointy Shoes ,Funnily ,Chair ,Huh ,Within ,Worth ,Often ,Sir ,Carry ,Skull ,Dunno ,Just ,Aren ,Adrian Turnipseed ,Hmmm ,Shouldn ,Mister Sopworthy ,Professor Ritornello ,Happily ,Professor Macarona ,Macarona ,Splendid ,Stalls ,Verity Pushpram ,Miss Pushpram ,Verity ,Fine ,Lord Rust ,Drang ,Shiny Robert ,Robert ,Avec ,Patrician ,Archchancellor Bill Rincewind ,City ,Warfare ,Archchancellor Henry ,Bonk ,Havelock ,Archchancellor Ridcully ,Tonight ,Unseen ,Mages ,Old Peculiar ,Funny ,Winkle ,Rules ,Mister Drumknott ,Lord Veterinary ,Swithin ,Dustworthy ,Naphill ,Treacle Mine ,Jimmy Wilkins ,Harry Capstick ,Anyhow ,Sign Up ,Mystery Lady Vanishes ,Score One ,Jammy Devils ,Charlotte ,Glenda Sugarbean ,Jammy Devil ,Miss Sugarbean ,Greatest Boss ,Sto Lat ,Augusta Sugarbean ,Madam ,Idiosyncratically ,Goodbye ,Queen Ynci ,Coherently ,Silence ,Square ,Sator ,Satblatt ,Baking ,Beauty ,Uncle Geoffrey ,Climb ,Aloud ,Mister Pepe ,Buns ,Mister Concrete ,Shadows ,Couldn ,Barked ,Hypnosis ,Fussbinder ,Are ,Verrry ,Questions ,Open ,Light ,Jerky ,Danger ,Beware ,Dynamic ,Alfred ,Alphonse ,Schnouzentintle ,Hang ,Padlocks ,Perpetual Velocity ,Annihilated ,Sale Price ,Mask ,Joke Emporium ,Improved Necromancer ,Again ,Houseman ,Ahem ,Nightmares ,Ready ,Evil Empire ,Evil Emperor ,Kings ,Necromancer ,Boffo ,Sweet ,Night ,Down ,Hen ,Busy ,Orc ,Tears ,Sooner ,Back ,Believe ,Return ,Flyer ,Fancy Mister Nutt ,Burleigh ,Mary ,Broad Way ,Pseudopolis Yard ,Unseen Academicals ,Somethin ,Guild ,Clothes ,Got ,Yep ,Snooty ,Giggles ,Back Street Pins ,Stamp Monthly ,Fretwork ,Stanley Howler ,Golem Spotter Weekly ,Girls ,Kick Me ,Tosher Atkinson ,Spanner ,Mrs Atkinson ,Atkinson ,Willy Piltdown ,Fartmeister ,Cockbill Street ,Throat ,Dibbler ,Us ,Ours ,Shame ,Find Glenda ,Find Nutt ,Find ,Roz ,Ex ,Von Sliss ,Vanillehaltige ,Nachspeisenbeigabe ,Ich ,Herr Frugal ,Doctor Maspinder ,Bloody Stupid Johnson ,Great Spoons ,Peace ,Certainly ,Hold ,Bengo ,Bugger ,Boddrys ,Jolly Sailor ,Wizzla ,Gods ,Thought ,Slip ,Sator Square ,Von Haudenbrau ,Sir Samuel Vimes ,Sam ,Vimes ,Mind ,Captain ,Joseph Hoggett ,Hoggett ,Charlie Barton ,William de Worde ,Nature Notes ,Barton ,Bengo Maca—sorry ,Worde ,Professor Bengo Macarona ,De Worde ,Mister Hoggett ,Write ,Charles ,Young Ladies ,Didimus Supremius ,Primo Octo ,Emeritus Professor ,Music Studies ,Al Khali ,Macarona D. Thau ,Bengo Macaroooonaaaah ,Bengo Macarooonaah ,Blit Theory ,Blow ,United ,Listen ,Vimesy ,Won ,Lawn ,Likely ,Mum ,Tenth Egg Street ,Softer ,Shank ,Big Boy Barton ,Had Hoggett ,Ball ,Micky Pulford ,Fame ,Cheatin ,Bunns ,Sir Rosewood Bunn ,Muscle ,Striped ,Diamond King ,Grapeshot ,Appetite ,Weight ,TERRY ,Queen Elizabeth II ,Mankind ,Gray Jolliffe ,Neil Gaiman ,Sky ,Josh Kirby ,Music ,Carpe ,Melvyn Grant ,Money ,Paul Kidby ,Graham Higgins ,Stephen Briggs ,Scott McKowan ,Lyn Pratchett ,Copyright ,Adobe ,Avenue Road ,M5R ,Fulham Palace Road ,Mrs Hicks ,Usage ,Society ,Cherubs Carrying Hot Dogs ,Beauty Arising ,Certes Macarona Est ,Macarona Unum Est ,Fletcher ,Avian Nausea Index 
Chapter 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chapter 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chapter 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,132.0,38.0,2.0,132.0,22.0,3.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,12.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,53.0,20.0,1.0,37.0,5.0,1.0,6.0,1.0,1.0,1.0,2.0,4.0,89.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,28.0,14.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,5.0,1.0,18.0,1.0,1.0,1.0,2.0,6.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,29.0,1.0,1.0,11.0,6.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
